"","candidate.id","R30","R31","R32","R33","R34","R35","R36","R37","R38","R39","R40","R41","long"
"223",253409,1,1,6,1,1,6,1,1,6,1,1,1,3
"224",253415,1,1,2,1,1,2,1,1,1,1,1,1,6
"225",253419,2,1,6,5,1,5,2,1,2,2,1,2,2
"226",253447,1,2,5,1,1,4,2,1,4,2,1,2,2
"227",253459,2,2,6,1,1,5,2,2,5,2,5,5,2
"228",253461,1,1,2,1,1,2,1,1,1,1,1,1,6
"229",253463,3,3,4,1,3,3,3,3,5,3,1,3,4
"230",253466,2,2,6,1,1,6,1,1,6,1,1,2,2
"231",253469,1,1,6,1,1,5,1,1,5,1,5,5,2
"232",253472,4,1,5,1,1,4,2,5,5,2,1,1,2
"233",253475,2,2,5,1,2,5,2,1,2,1,1,5,2
"235",253495,1,4,2,1,1,2,1,1,1,1,1,1,6
"236",253501,1,1,6,1,1,6,2,6,4,2,2,5,2
"237",253502,2,4,2,4,1,2,4,2,2,2,2,2,5
"238",253505,1,2,5,1,1,4,2,1,4,2,1,4,2
"239",253512,1,1,5,1,1,4,1,1,1,1,1,3,5
"240",253516,1,1,5,1,1,2,1,1,4,1,1,1,3
"241",253517,1,1,4,1,1,4,1,1,1,1,1,1,6
"242",253518,2,2,5,2,1,5,2,1,3,1,2,1,2
"243",253530,4,4,4,2,5,5,5,1,1,4,1,1,3
"244",253535,1,3,4,1,1,4,1,1,1,1,1,2,5
"245",253536,1,1,6,1,1,4,1,1,1,1,5,1,4
"246",253541,1,1,5,1,1,5,1,1,2,1,1,2,2
"248",253550,1,1,6,1,1,6,2,1,6,1,1,6,2
"249",253551,2,5,5,1,1,5,1,1,5,2,2,5,2
"250",253552,1,1,4,1,1,3,4,1,5,1,1,5,2
"251",253555,4,1,6,2,1,6,1,1,1,2,2,4,3
"252",253556,1,2,5,1,1,5,4,1,6,1,1,1,3
"253",253560,6,6,2,1,1,2,2,1,2,2,2,2,4
"254",253562,4,2,5,2,1,4,2,1,2,2,2,4,3
"255",253566,4,3,4,1,1,4,1,1,1,4,1,1,3
"256",253571,1,1,4,1,1,4,1,1,1,1,1,1,6
"257",253573,2,1,4,1,1,4,2,1,2,1,4,2,2
"258",253580,1,1,6,1,1,4,1,1,1,1,1,1,6
"259",253593,2,1,5,1,1,5,1,1,1,2,1,5,3
"260",253596,5,4,6,3,2,5,3,1,4,5,1,4,1
"261",253599,1,1,2,1,1,3,2,1,1,1,1,2,4
"262",253604,2,1,2,1,1,2,1,1,2,1,1,2,2
"263",253609,1,1,6,1,1,6,2,1,4,1,1,2,2
"264",253611,1,1,4,1,1,4,2,1,1,1,1,2,4
"265",253619,1,2,5,1,1,5,1,1,1,1,1,5,5
"266",253622,1,1,5,1,1,5,1,1,2,1,1,2,2
"267",253630,1,1,3,1,2,3,1,1,2,1,1,1,3
"268",253632,1,1,6,1,1,6,1,1,5,1,1,1,3
"269",253634,1,1,4,1,1,1,1,1,2,1,2,1,5
"270",253635,4,1,5,1,1,5,2,1,2,4,1,5,2
"271",253637,3,2,6,3,2,6,1,2,5,2,3,4,1
"272",253638,1,1,6,1,1,5,1,1,1,1,1,1,6
"273",253646,1,1,6,1,1,1,1,1,2,1,1,1,5
"274",253656,1,1,5,1,1,5,1,1,5,1,1,1,3
"275",253671,1,1,5,1,1,5,2,1,4,2,1,5,2
"276",253673,3,2,4,1,1,4,1,1,4,1,2,4,2
"277",253677,1,1,6,1,1,6,1,1,1,1,3,6,4
"278",253678,1,2,6,1,1,5,1,1,4,1,2,1,2
"279",253682,2,1,5,1,1,5,3,1,5,2,1,4,2
"280",253683,1,1,5,1,1,4,1,1,2,1,1,1,3
"281",253684,2,4,5,2,1,4,2,4,4,5,5,5,3
"282",253689,4,1,5,1,1,5,2,1,1,1,5,4,3
"283",253692,1,1,5,1,1,5,1,1,5,1,4,4,2
"284",253694,3,1,6,2,2,6,2,1,5,2,2,5,2
"285",253695,2,2,5,3,2,4,3,3,4,2,2,2,3
"286",253697,2,2,6,2,2,5,2,2,5,2,5,5,2
"288",253736,3,1,6,1,1,6,4,1,5,2,1,5,2
"289",253737,1,1,4,1,1,5,1,1,1,1,1,4,5
"290",253739,1,1,5,1,1,4,1,1,1,1,1,1,6
"291",253759,1,1,6,1,1,6,1,1,6,1,1,4,2
"292",253762,1,1,5,1,1,5,2,1,5,1,1,5,2
"293",253770,5,5,6,4,2,5,5,5,5,5,4,5,5
"294",253779,2,2,6,1,1,5,1,1,4,1,1,5,2
"295",253784,2,1,5,1,1,4,1,1,4,2,1,5,2
"297",253876,3,2,5,1,1,5,1,1,4,2,3,4,2
"298",253877,1,2,5,1,1,5,1,2,4,1,3,5,2
"299",253905,5,1,5,1,1,6,2,1,5,5,1,5,2
"300",253940,1,1,5,1,6,5,1,1,5,1,1,4,2
"301",253966,4,2,5,2,2,4,3,2,4,3,2,4,2
